area,coins,danmakus,episodes_aid,episodes_duration,favorites,media_id,name,season_id,style,views,years
中国大陆,26146.0,29568.0,"OrderedDict([('拯救大脑危机', '37542414'), ('心脏拆爆队', '38068599'), ('急诊特种兵', '38224377'), ('非常诊断', '39149452'), ('刀锋挑战', '39295226')])","[24, 24, 25, 24, 24]",144746.0,4315162,业内人士 第一季,26247,"['医疗', '社会']",2627259.0,2018
中国大陆,3646.0,7183.0,"OrderedDict([('来领取你们的虚拟男/女朋友啦', '22646671'), ('猛汉编年史：迎男而上', '23292444'), ('大长腿一次看个够 上世纪的撩人小姐姐们', '23916393'), ('伪球迷的自我修养，了解一下？', '24564512'), ('为啥外星人老爱入侵地球？', '25395579'), ('人类的极限在哪里？看各路大神挑战究极进化~', '26283496'), ('天才们疯起来 连自己都不认识~', '27321545')])","[6, 6, 5, 5, 5, 5, 5]",30098.0,91332,白镜,24224,"['人文', '科技']",2590867.0,2018
中国大陆,12936.0,15573.0,"OrderedDict([('女泰拳手', '41459050'), ('流浪歌手', '41458904'), ('香水有毒胡杨林', '42129817'), ('世界小姐', '42216303'), ('北漂导演', '42216718'), ('营养快餐', '44043228'), ('心理治疗师', '44043574'), ('外卖小哥', '44364501'), ('古琴老师', '44364482')])","[16, 21, 21, 20, 25, 8, 10, 11, 10]",82002.0,11653495,500元的幸福,26469,['社会'],2503118.0,2019
中国大陆,28178.0,29738.0,"OrderedDict([('弹指一挥间：中国全方位崛起', '40239438'), ('一出国就爱国', '40724637'), ('防止盲人摸象', '41324860'), ('中国不寻常的崛起', '41582172'), ('把中国的事说清楚', '43197081'), ('文明型国家（一）', '43939550'), ('文明型国家（二）', '44652727'), ('谈谈中国模式（一）', '45315802'), ('谈谈中国模式（二）', '45969843'), ('民主模式的国际比较', '46633617'), ('好民主才是人民之福', '47299931')])","[42, 45, 44, 45, 42, 45, 44, 43, 42, 50, 43]",109061.0,8726750,这就是中国,26421,['社会'],2369525.0,2019
美国,8258.0,13815.0,"OrderedDict([('非凡视力', '31523064'), ('精力体能', '31522988'), ('神经感知', '31523093'), ('万能大脑', '31523019')])","[43, 43, 43, 43]",210805.0,131212,透视人体极限,25542,['科技'],2276190.0,2018
日本,4783.0,53486.0,"OrderedDict([('剥螃蟹肉王', '32642932'), ('粉笔手绘广告牌王', '32642932'), ('腹部肌肉女王', '32642932'), ('男扮女装王', '32642932'), ('正方发型王', '32642932'), ('和式甜点王', '32642932'), ('钢丝艺术王', '32642932'), ('身体超级柔软女性的对决', '32642932'), ('能够吃出CoCo壹番屋各个店铺不同特色咖喱的达人对决', '32642932'), ('箱内“庭院”制造王', '32642932'), ('吸管艺术王', '32642932'), ('水果雕刻王', '32642932'), ('肥胖人群专用料理王', '32642932'), ('似颜絵艺术王', '32642932'), ('方便面料理王', '32642932'), ('BBQ王', '32642932'), ('电锯艺术王1', '32642932'), ('电锯艺术王2', '32642932'), ('纸箱艺术王', '32642932'), ('冰雕艺术职人', '32642932'), ('捞金鱼', '32642932'), ('独角仙?铲形虫捕获王', '32642932'), ('日式点心王', '32642932'), ('纸模型艺术王', '32642932'), ('古董车知识王', '33962008'), ('竹马王', '33962008'), ('3分钟涂鸦王', '33962008'), ('轻型卡车改装旅行车', '33962008'), ('洗手間改造王', '34085255'), ('巨辣料理王', '34621539'), ('塑料泡沫艺术王', '35046963'), ('罐头食品料理王', '35533483'), ('拉面王', '36014672'), ('外国人汉字王', '36515875'), ('寿司职人', '37600791'), ('甜点师', '38132414'), ('面包师', '39213380'), ('排队超长拉面店对决', '39885783'), ('玩偶屋子艺术王', '41113994'), ('小学生地理王', '41741786'), ('泪腺弱 爱哭女王', '42247413'), ('粉笔画达人', '42944563'), ('铲车操作王', '43695443'), ('精通站立餐饮居酒屋之女王', '44273759'), ('熟通猫猫达人', '44999115'), ('男性密室改造王', '46260847'), ('文具王', '46914810')])","[43, 42, 43, 42, 42, 42, 43, 42, 41, 42, 42, 42, 42, 42, 43, 42, 43, 42, 43, 42, 43, 42, 42, 43, 42, 42, 42, 43, 43, 42, 42, 42, 42, 42, 41, 42, 43, 43, 42, 42, 42, 42, 42, 41, 42, 43, 42]",68813.0,140792,电视冠军之极,25841,"['人文', '社会']",2259138.0,2018
英国,3765.0,14879.0,"OrderedDict([('创世纪的第二个瞬间', '22177554'), ('自视如何', '22177554'), ('画卷天堂', '22253603'), ('信仰之眼', '22257668'), ('艺术的胜利', '22594262'), ('初次邂逅', '22602844'), ('光辉', '22932310'), ('进步崇拜', '22957378'), ('重要的火花', '23198916')])","[52, 53, 50, 53, 53, 53, 52, 53, 52]",183991.0,84192,BBC 文明,23992,"['人文', '历史']",2234909.0,2018
美国,4615.0,30820.0,"OrderedDict([('痛不欲生', '31258809'), ('夺子病魔', '31258765'), ('咳出虫来', '31258886'), ('生吞脸部', '31258798'), ('生不如死', '31258773'), ('停止长大', '31258873'), ('病菌入喉', '31258907'), ('梦想幻灭', '31258786'), ('不受控的大脑', '31258846'), ('体内异物', '31258897')])","[43, 43, 43, 42, 43, 43, 43, 43, 43, 43]",135516.0,132872,体内怪物 第三季,25627,"['科技', '医疗']",2219265.0,2018
美国,4079.0,2164.0,OrderedDict(),[],272026.0,21994323,决胜荒野,26776,"['探险', '运动']",2016897.0,2019
中国大陆,6363.0,67428.0,"OrderedDict([('乡土之源', '4673559'), ('匠心独运', '4673559'), ('美味相传', '4673559')])","[50, 50, 50]",53357.0,20868,寻味顺德,20868,"['美食', '人文']",1943594.0,2016
